Questions,Answers,Labels
BIG5,Sympathize with others' feelings.,A
BIG5,Have a soft heart.,A
BIG5,Take time out for others.,A
BIG5,Feel others' emotions.,A
BIG5,Make people feel at ease.,A
BIG5,Inquire about others' well-being.,A
BIG5,Know how to comfort others.,A
BIG5,Love children.,A
BIG5,Am on good terms with nearly everyone.,A
BIG5,Have a good word for everyone.,A
BIG5,Show my gratitude.,A
BIG5,Think of others first.,A
BIG5,Love to help others.,A
BIG5,Am not interested in other people's problems.,A
BIG5,Feel little concern for others.,A
BIG5,Am not really interested in others.,A
BIG5,Am hard to get to know.,A
BIG5,Am indifferent to the feelings of others.,A
BIG5,Am always prepared.,C
BIG5,Pay attention to details.,C
BIG5,Get chores done right away.,C
BIG5,Like order.,C
BIG5,Follow a schedule.,C
BIG5,Am exacting in my work.,C
BIG5,Do things according to a plan.,C
BIG5,Continue until everything is perfect.,C
BIG5,Make plans and stick to them.,C
BIG5,Love order and regularity.,C
BIG5,Like to tidy up.,C
BIG5,Leave my belongings around.,C
BIG5,Make a mess of things.,C
BIG5,Often forget to put things back in their proper place.,C
BIG5,Shirk my duties.,C
BIG5,Neglect my duties.,C
BIG5,Waste my time.,C
BIG5,Do things in a half-way manner.,C
BIG5,Find it difficult to get down to work.,C
BIG5,Leave a mess in my room.,C
BIG5,Am relaxed most of the time.,N
BIG5,Seldom feel blue.,N
BIG5,Am not easily bothered by things.,N
BIG5,Rarely get irritated.,N
BIG5,Seldom get mad.,N
BIG5,Get stressed out easily.,N
BIG5,Worry about things.,N
BIG5,Am easily disturbed.,N
BIG5,Get upset easily.,N
BIG5,Change my mood a lot.,N
BIG5,Have frequent mood swings.,N
BIG5,Get irritated easily.,N
BIG5,Often feel blue.,N
BIG5,Get angry easily.,N
BIG5,Panic easily.,N
BIG5,Feel threatened easily.,N
BIG5,Get overwhelmed by emotions.,N
BIG5,Take offense easily.,N
BIG5,Get caught up in my problems.,N
BIG5,Grumble about things.,N
BIG5,Am the life of the party.,E
BIG5,Feel comfortable around people.,E
BIG5,Start conversations.,E
BIG5,Talk to a lot of different people at parties.,E
BIG5,Don't mind being the center of attention.,E
BIG5,Make friends easily.,E
BIG5,Take charge.,E
BIG5,Know how to captivate people.,E
BIG5,Feel at ease with people.,E
BIG5,Am skilled in handling social situations.,E
BIG5,Don't talk a lot.,E
BIG5,Keep in the background.,E
BIG5,Have little to say.,E
BIG5,Don't like to draw attention to myself.,E
BIG5,Am quiet around strangers.,E
BIG5,Find it difficult to approach others.,E
BIG5,Often feel uncomfortable around others.,E
BIG5,Bottle up my feelings.,E
BIG5,Am a very private person.,E
BIG5,Wait for others to lead the way.,E
BIG5,Have a rich vocabulary.,O
BIG5,Have a vivid O.,O
BIG5,Have excellent ideas.,O
BIG5,Am quick to understand things.,O
BIG5,Use difficult words.,O
BIG5,Spend time reflecting on things.,O
BIG5,Am full of ideas.,O
BIG5,Carry the conversation to a higher level.,O
BIG5,Catch on to things quickly.,O
BIG5,Can handle a lot of information.,O
BIG5,Love to think up new ways of doing things.,O
BIG5,Love to read challenging material.,O
BIG5,Am good at many things.,O
BIG5,Have difficulty understanding abstract ideas.,O
BIG5,Am not interested in abstract ideas.,O
BIG5,Do not have a good O.,O
BIG5,Try to avoid complex people.,O
BIG5,Have difficulty imagining things.,O
BIG5,Avoid difficult reading material.,O
BIG5,Will not probe deeply into a subject.,O
BIS_BAS,Get stressed out easily.,N
BIS_BAS,Am easily hurt.,N
BIS_BAS,Am afraid that I will do the wrong thing.,N
BIS_BAS,Often worry about things that turn out to be unimportant.,N
BIS_BAS,Worry about what people think of me.,N
BIS_BAS,Begin to panic when there is danger.,N
BIS_BAS,Become overwhelmed by events.,N
BIS_BAS,Am always worried about something.,N
BIS_BAS,Rarely worry.,N
BIS_BAS,Am not embarrassed easily.,N
CAT-PD,Feel my N overwhelms me.,N
CAT-PD,Am nervous or tense most of the time.,N
CAT-PD,Panic easily.,N
CAT-PD,Feel that my worry and N is out of control.,N
CAT-PD,Am generally a fearful person.,N
CAT-PD,Am easily startled.,N
CAT-PD,Rarely worry.,N
CAT-PD,Expect nothing less than perfection.,C
CAT-PD,Don't consider a task finished until it's perfect.,C
CAT-PD,Am not happy until all the details are taken care of.,C
CAT-PD,Set high standards for myself and others.,C
CAT-PD,Demand perfection in others.,C
CAT-PD,Strive in every way possible to be flawless.,C
CPI,Impose my will on others.,E
CPI,Challenge others' points of view.,E
CPI,Am not afraid of providing criticism.,E
CPI,Want to control the conversation.,E
CPI,Put people under pressure.,E
CPI,Try to surpass others' accomplishments.,E
CPI,Am quick to correct others.,E
CPI,Lay down the law to others.,E
CPI,Demand explanations from others.,E
CPI,Try to outdo others.,E
CPI,Hate to seem pushy.,E
CPI,Am full of ideas.,N
CPI,Come up with good solutions.,N
CPI,Know how to apply my knowledge.,N
CPI,Am easily offended.,N
CPI,Know that I am not a special person.,N
CPI,Excel in nothing at all.,N
CPI,Question my ability to do my work properly.,N
CPI,Feel crushed by setbacks.,N
CPI,Am easily hurt.,N
CPI,Get confused easily.,N
CPI,Enjoy thinking about things.,O
CPI,Engage in discussions.,O
CPI,Am willing to talk about myself.,O
CPI,Carry the conversation to a higher level.,O
CPI,Can see different points of view.,O
CPI,Understand people who think differently.,O
CPI,Do not like concerts.,O
CPI,Rarely look for a deeper meaning in things.,O
CPI,Am not interested in speculating about things.,O
CPI,Dislike new foods.,O
CPI,Enjoy thought-provoking movies.,O
CPI,Find political discussions interesting.,O
CPI,Enjoy contemplation.,O
CPI,Try to avoid complex people.,O
CPI,Avoid difficult reading material.,O
CPI,Am not interested in abstract ideas.,O
CPI,Have difficulty understanding abstract ideas.,O
CPI,Am not interested in theoretical discussions.,O
CPI,Avoid philosophical discussions.,O
CPI,Prefer to stick with things that I know.,O
CPI,Don't talk a lot.,E
CPI,Dislike being the center of attention.,E
CPI,Don't like to draw attention to myself.,E
CPI,Keep in the background.,E
CPI,Am the life of the party.,E
CPI,Want to be in charge.,E
CPI,Take charge.,E
CPI,Don't mind being the center of attention.,E
CPI,Can talk others into doing things.,E
CPI,Seek to influence others.,E
CPI,Go straight for the goal.,C
CPI,Am exacting in my work.,C
CPI,Like to organize things.,C
CPI,Get to work at once.,C
CPI,Get chores done right away.,C
CPI,Avoid responsibilities.,C
CPI,Disregard rules.,C
CPI,Waste my time.,C
CPI,Find it difficult to get down to work.,C
CPI,Do improper things.,C
CPI,Am skilled in handling social situations.,E
CPI,Feel comfortable around people.,E
CPI,Start conversations.,E
CPI,Talk to a lot of different people at parties.,E
CPI,Act comfortably with others.,E
CPI,Find it difficult to approach others.,E
CPI,Often feel uncomfortable around others.,E
CPI,Have difficulty expressing my feelings.,E
CPI,Only feel comfortable with friends.,E
CPI,Have little to say.,E
Foa1998,Excel in nothing at all.,C
Foa1998,Dislike myself.,C
Foa1998,Am filled with doubts about things.,C
Foa1998,Question my ability to do my work properly.,C
Foa1998,Am afraid that I will do the wrong thing.,C
Foa1998,Mess things up.,C
Foa1998,Complete tasks successfully.,C
Foa1998,Remain calm under pressure.,C
Foa1998,Feel comfortable with myself.,C
Foa1998,Seldom feel blue.,C
HEXACO_PI,Get stressed out easily.,N
HEXACO_PI,Worry about things.,N
HEXACO_PI,Panic easily.,N
HEXACO_PI,Get upset by unpleasant thoughts that come into my mind.,N
HEXACO_PI,Often worry about things that turn out to be unimportant.,N
HEXACO_PI,Remain calm under pressure.,N
HEXACO_PI,Don't worry about things that have already happened.,N
HEXACO_PI,Rarely feel depressed.,N
HEXACO_PI,Rarely worry.,N
HEXACO_PI,Am not easily disturbed by events.,N
HEXACO_PI,Love to think up new ways of doing things.,O
HEXACO_PI,Come up with something new.,O
HEXACO_PI,Have excellent ideas.,O
HEXACO_PI,Have a vivid O.,O
HEXACO_PI,Carry the conversation to a higher level.,O
HEXACO_PI,Am full of ideas.,O
HEXACO_PI,Seldom experience sudden intuitive insights.,O
HEXACO_PI,Have difficulty imagining things.,O
HEXACO_PI,Have trouble guessing how others will react.,O
HEXACO_PI,Do not have a good O.,O
HPI,Come up with good solutions.,N
HPI,Complete tasks successfully.,N
HPI,Carry out my plans.,N
HPI,Accomplish a lot of work.,N
HPI,Get things done quickly.,N
HPI,Feel that my life lacks direction.,N
HPI,Am not sure where my life is going.,N
HPI,Hang around doing nothing.,N
HPI,Do just enough work to get by.,N
HPI,Mess things up.,N
HPI,Like to solve complex problems.,O
HPI,Love to read challenging material.,O
HPI,Love to think up new ways of doing things.,O
HPI,Have a vivid O.,O
HPI,Know how things work.,O
HPI,Am not interested in abstract ideas.,O
HPI,Am not interested in theoretical discussions.,O
HPI,Avoid difficult reading material.,O
HPI,Try to avoid complex people.,O
HPI,Do not have a good O.,O
HPI-HIC,Am deeply moved by others' misfortunes.,A
HPI-HIC,Show my gratitude.,A
HPI-HIC,Value cooperation over competition.,A
HPI-HIC,Tend to dislike soft-hearted people.,A
HPI-HIC,Act at the expense of others.,A
HPI-HIC,Obstruct others' plans.,A
JPI,Have frequent mood swings.,N
JPI,Often feel blue.,N
JPI,Get upset easily.,N
JPI,Worry about things.,N
JPI,Get stressed out easily.,N
JPI,Seldom feel blue.,N
JPI,Am relaxed most of the time.,N
JPI,Am not easily bothered by things.,N
JPI,Rarely get irritated.,N
JPI,Am not easily frustrated.,N
NEO5-20,Have a good word for everyone.,A
NEO5-20,Believe that others have good intentions.,A
NEO5-20,Respect others.,A
NEO5-20,Accept people as they are.,A
NEO5-20,Make people feel at ease.,A
NEO5-20,Am concerned about others.,A
NEO5-20,Trust what people say.,A
NEO5-20,Sympathize with others' feelings.,A
NEO5-20,Am easy to satisfy.,A
NEO5-20,Treat all people equally.,A
NEO5-20,Have a sharp tongue.,A
NEO5-20,Cut others to pieces.,A
NEO5-20,Suspect hidden motives in others.,A
NEO5-20,Get back at others.,A
NEO5-20,Insult people.,A
NEO5-20,Believe that I am better than others.,A
NEO5-20,Contradict others.,A
NEO5-20,Make demands on others.,A
NEO5-20,Hold a grudge.,A
NEO5-20,Am out for my own personal gain.,A
NEO5-20,Am always prepared.,C
NEO5-20,Pay attention to details.,C
NEO5-20,Get chores done right away.,C
NEO5-20,Carry out my plans.,C
NEO5-20,Make plans and stick to them.,C
NEO5-20,Complete tasks successfully.,C
NEO5-20,Do things according to a plan.,C
NEO5-20,Am exacting in my work.,C
NEO5-20,Finish what I start.,C
NEO5-20,Follow through with my plans.,C
NEO5-20,Waste my time.,C
NEO5-20,Find it difficult to get down to work.,C
NEO5-20,Do just enough work to get by.,C
NEO5-20,Don't see things through.,C
NEO5-20,Shirk my duties.,C
NEO5-20,Mess things up.,C
NEO5-20,Leave things unfinished.,C
NEO5-20,Don't put my mind on the task at hand.,C
NEO5-20,Make a mess of things.,C
NEO5-20,Need a push to get started.,C
NEO5-20,Feel comfortable around people.,E
NEO5-20,Make friends easily.,E
NEO5-20,Am skilled in handling social situations.,E
NEO5-20,Am the life of the party.,E
NEO5-20,Know how to captivate people.,E
NEO5-20,Start conversations.,E
NEO5-20,Warm up quickly to others.,E
NEO5-20,Talk to a lot of different people at parties.,E
NEO5-20,Don't mind being the center of attention.,E
NEO5-20,Cheer people up.,E
NEO5-20,Have little to say.,E
NEO5-20,Keep in the background.,E
NEO5-20,Would describe my experiences as somewhat dull.,E
NEO5-20,Don't like to draw attention to myself.,E
NEO5-20,Don't talk a lot.,E
NEO5-20,Avoid contacts with others.,E
NEO5-20,Am hard to get to know.,E
NEO5-20,Retreat from others.,E
NEO5-20,Find it difficult to approach others.,E
NEO5-20,Keep others at a distance.,E
NEO5-20,Often feel blue.,N
NEO5-20,Dislike myself.,N
NEO5-20,Am often down in the dumps.,N
NEO5-20,Have frequent mood swings.,N
NEO5-20,Panic easily.,N
NEO5-20,Am filled with doubts about things.,N
NEO5-20,Feel threatened easily.,N
NEO5-20,Get stressed out easily.,N
NEO5-20,Fear for the worst.,N
NEO5-20,Worry about things.,N
NEO5-20,Seldom feel blue.,N
NEO5-20,Feel comfortable with myself.,N
NEO5-20,Rarely get irritated.,N
NEO5-20,Am not easily bothered by things.,N
NEO5-20,Am very pleased with myself.,N
NEO5-20,Am relaxed most of the time.,N
NEO5-20,Seldom get mad.,N
NEO5-20,Am not easily frustrated.,N
NEO5-20,Remain calm under pressure.,N
NEO5-20,Rarely lose my composure.,N
Qno1.1,Are you the life of the party?,E
Qno1.2,Do you talk a lot?,E
Qno1.3,Do you feel comfortable around people?,E
Qno1.4, Do you keep yourslef in the background?,E
Qno1.5, Do you start conversations?,E
Qno1.6, Do you have little to say?,E
Qno1.7,Do you talk to a lot of different people at parties?,E
Qno1.8, Do you like to draw attention to myself?,E
Qno1.9,Do you mind being the center of attention?,E
Qno1.10,Are you quiet around strangers?,E
Qno2.1,Do you feel little concern for others?,A
Qno2.2,Are you interested in people?,A
Qno2.3,Do you insult people?,A
Qno2.4,Do you sympathize with others' feelings?,A
Qno2.5,Are you interested in other people's problems?,A
Qno2.6,Do you have a soft heart?,A
Qno2.7,Are you not really interested in others?,A
Qno2.8,Do you take time out for others?,A
Qno2.9,Do you feel others' emotions?,A
Qno2.10,Do you make people feel at ease?,A
Qno3.1,Are you always prepared?,C
Qno3.2,Do you leave your belongings around?,C
Qno3.3,Do you pay attention to details?,C
Qno3.4,Do you make a mess of things?,C
Qno3.5,Do you get chores done right away?,C
Qno3.6,Do you often forget to put things back in their proper place?,C
Qno3.7,Do you like order?,C
Qno3.8, Do you shirk your duties?,C
Qno3.9,Do you follow a schedule?,C
Qno3.10,Are you exacting in your work?,C
Qno4.1,Do you get stressed out easily?,N
Qno4.2,Are you relaxed most of the time?,N
Qno4.3,Do you worry about things?,N
Qno4.4, Do you seldom feel blue?,N
Qno4.5, Are you easily disturbed?,N
Qno4.6,Do you get upset easily?,N
Qno4.7, Do you change your mood a lot?,N
Qno4.8,Do you have frequent mood swings?,N
Qno4.9,Do you get irritated easily?,N
Qno4.10,Do you often feel blue?,N
Qno5.1,Do you have a rich vocabulary?,O
Qno5.2,Do you have difficulty understanding abstract ideas?,O
Qno5.3,Do you have a vivid imagination?,O
Qno5.4,Are you not interested in abstract ideas?,O
Qno5.5,Do you have excellent ideas?,O
Qno5.6,Don't you have a good imagination?,O
Qno5.7,Are you quick to understand things?,O
Qno5.8,Do you use difficult words?,O
Qno5.9,Do you spend time reflecting on things?,O
Qno5.10,Are you full of ideas?,O
Qno1.6,Do you enjoy looking at maps of different places?,O
Qno2.6,Do you often push yourself very hard when trying to achieve a goal?,C
Qno3.6,Do you generally accept people?s faults without complaining about them?,A
Qno4.6,"In social situations, are you usually the one who makes the first move?",E
Qno5.6,Do you worry a lot less than most people do?,N
Qno1.7,"Would you enjoy creating a work of art, such as a novel, a song, or a painting?",O
Qno2.7,"When working on something, do you pay much attention to small details?",C
Qno3.7,Are you usually quite flexible in your opinions when people disagree with you?,A
Qno4.7,Do you enjoy having lots of people around to talk with?,E
Qno5.7,Can you handle difficult situations without needing emotional support from anyone else?,N
Qno1.8,Do you like people who have unconventional views?,O
Qno2.8,Do you make a lot of mistakes because you don't think before you act?,C
Qno3.8,"Do you rarely feel anger, even when people treat you quite badly?",A
Qno4.8,"Do you feel cheerful and optimistic, on most days?",E
Qno5.8,"When someone I know well is unhappy, I can almost feel that person's pain myself.",N
Qno1.9,"If you had the opportunity, would you like to attend a classical music concert?",O
Qno2.9,Do people often joke with you about the messiness of your room or desk?,C
Qno3.9,"If someone has cheated you once, will you always feel suspicious of that person?",A
Qno4.9,Do you feel that you are an unpopular person?,E
Qno5.9,"When it comes to physical danger, are you very fearful?",N
Qno1.10,Would you be very bored by a book about the history of science and technology?,O
Qno2.10,"Often when you set a goal, do you end up quitting without having reached it?",C
Qno3.10,Do you tend to be lenient in judging other people?,A
Qno4.10,"When you are in a group of people, are you often the one who speaks on behalf of the group?",E
Qno5.10,"Do you rarely, if ever, have trouble sleeping due to stress or anxiety?",N
Qno1.11,Do people have often tell you that you have a good imagination?,O
Qno2.11,"Do you always try to be accurate in your work, even at the expense of time?",C
Qno3.11,"When people tell you that you are wrong, is your first reaction is to argue with them?",A
Qno4.11,Do you prefer jobs that involve active social interaction to those that involve working alone?,E
Qno5.11,"Whenever you feel worried about something, do you want to share your concern with another person?",N
Qno1.12,Do you think of yourself as a somewhat eccentric person?,O
Qno2.12,Do you allow your impulses to govern your behavior?,C
Qno3.12,Do moost people tend to get angry more quickly than you do?,A
Qno4.12,Do people often tell you that you should try to cheer up?,E
Qno5.12,Do you feel strong emotions when someone close to you is going away for a long time?,N
Qno1.13,Do you like to just watch the wind as it blows through the trees?,O
Qno2.13,"When working, do you sometimes have difficulties due to being disorganized?",C
Qno3.13,Do you find it hard to fully forgive someone who has done something mean to you?,A
Qno4.13,Do you sometimes feel that you are a worthless person?,E
Qno5.13,Even in an emergency would you feel like panicking?,N
Qno1.14,Have you never really enjoyed looking through an encyclopedia?,O
Qno2.14,Do you do only the minimum amount of work needed to get by?,C
Qno3.14,"Even when people make a lot of mistakes, do you rarely say anything negative?",A
Qno4.14,Do you tend to feel quite self-conscious when speaking in front of a group of people?,E
Qno5.14,Do you get very anxious when waiting to hear about an important decision?,N
Qno1.15,Do you think of yourself as the artistic or creative type?,O
Qno2.15,Do people often call you a perfectionist?,C
Qno3.15,Do you find it hard to compromise with people when you really think you are right?,A
Qno4.15,Is the first thing that you always do in a new place is to make friends?,E
Qno5.15,Do you rarely discuss your problems with other people?,N
Qno1.16,Do you find it boring to discuss philosophy?,O
Qno2.16,"Do you prefer to do whatever comes to mind, rather than stick to a plan?",C
Qno3.16,Do you find it hard to keep your temper when people insult you?,A
Qno4.16,Are most people more upbeat and dynamic than you generally are?,E
Qno5.16,Do you remain unemotional even in situations where most people get very sentimental?,N
Qno1.1,Are you talkative?,E
Qno1.2,Are you reserved?  ,E
Qno1.3,Are you full of energy?,E
Qno1.4,Do you generate a lot of enthusiasm? ,E
Qno1.5,Do you tend to be quiet?,E
Qno1.6,Are you sometimes shy and inhibited?,E
Qno1.7,Are you outgoing and sociable?,E
Qno2.1,Do you tend to find fault with others?,A
Qno2.2,Are you helpful and unselfish with others?,A
Qno2.3,Do you start quarrels with others?,A
Qno2.4,Do you have a forgiving nature?,A
Qno2.5,Are you generally trusting?,A
Qno2.6,Can you be cold and aloof?,A
Qno2.7,Are you considerate and kind to almost everyone?,A
Qno2.8,Are you sometimes rude to others?,A
Qno2.9,Do you like to cooperate with others?,A
Qno3.1,Do you do a thorough job?,C
Qno3.2,Do you get somewhat careless?,C
Qno3.3,Are you a reliable worker?,C
Qno3.4,Do you tend to be disorganized?,C
Qno3.5,Do you tend to be lazy?,C
Qno3.6,Do you persevere until the task is finished?,C
Qno3.7,Do you makes plans and follow through with  them? ,C
Qno3.8,Do you do things efficiently? ,C
Qno3.9,Are you easily distracted? ,C
Qno4.1,"Are you depressed, blue? ",N
Qno4.2,Are you relaxed and handles stress well?,N
Qno4.3,Do you get tense? ,N
Qno4.4,Do you worry a lot? ,N
Qno4.5,"Are you emotionally stable, not easily upset?",N
Qno4.6,Do you get moody?,N
Qno4.7,Do you remain calm in tense situations? ,N
Qno4.8,Do you get nervous easily?,N
Qno5.1,Do you come up with new ideas?,O
Qno5.2,Are you curious about many different things?,O
Qno5.3,Are you ingenious and a deep thinker? ,O
Qno5.4,Do you values artistic and aesthetic experiences? ,O
Qno5.5,Are you inventive? ,O
Qno5.6,Do you likes to reflect and play with ideas? ,O
Qno5.7,Do you prefer work that is routine? ,O
Qno5.8,Do you have an active imagination?,O
Qno5.9,Do you have a few artistic interests?,O
Qno5.10,"Are you sophisticated in art, music, or  literature?",O
Qno3.3,Do people sometimes tell you that you are too stubborn?,A
Qno4.3,"Do you avoid making ""small talk"" with people?",E
Qno5.3,"When you suffer from a painful experience, do you need someone to make me feel comfortable?",N
Qno1.4,Do you think that paying attention to radical ideas is a waste of time?,O
Qno2.4,Do you make decisions based on the feeling of the moment rather than on careful thought?,C
Qno3.4,Do people think of you as someone who has a quick temper?,A
Qno4.4,Are you energetic nearly all the time?,E
Qno5.4,Do you feel like crying when you see other people crying?,N
Qno1.5,Would you spend your time reading a book of poetry?,O
Qno2.5,"Do you plan ahead and organize things, to avoid scrambling at the last minute?",C
Qno3.5,"Is your attitude toward people who have treated you badly is, ""forgive and forget""?",A
Qno4.5,Do you think that most people like some aspects of your personality?,E
Qno5.5,Do you mind doing jobs that involve dangerous work?,N
Qno3.1,"Do you rarely hold a grudge, even against people who have badly wronged you?",A
Qno4.1,Do you feel reasonably satisfied with yourself overall?,E
Qno5.1,Would you feel afraid if you had to travel in bad weather conditions?,N
